site_id,PC1,PC2
LR00,-2.5193847923963095,0.4825169432418403
LR01,-1.8764548352030852,0.815264004066869
LR02,-0.7465563441764528,1.0154083004539027
LR03,-0.4167881982814596,0.5290877744119137
LR04,0.22100923468338868,0.7708841766151823
LR05,-0.0689882823383268,1.2576940798144751
LR06,1.3223422767539628,-0.03649586687189971
LR07,2.8566452693545825,-0.8084979663091921
LR08,4.401144441652132,-0.7353774412749536
MB01,-2.7561512649646116,-1.6717626442644957
MB02,-1.4137700913370908,-0.670652435133674
MB03,0.20319291243044565,0.3585701482524491
MB04,2.3031193724700807,-0.14513147663143477
SW01,-3.5546943189381124,-1.4191244970269778
SW02,-0.8725976935357174,0.30127862876876155
SW03,0.4684864392706489,0.37068791384647326
SW04,2.449445874555924,-0.41434964195923807
